model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,test,0.12,0.0786312340735347,0.998843930635838,0.1457858769931662,0.008617312965139,0.0080346664259276,88,10124,1,864,800031.4169599998,33250486667.77,0.02,665809764.77236
Logistic Regression,test,0.13,0.0790267995975487,0.998843930635838,0.146465502627564,0.0140031335683509,0.0129999097228491,143,10069,1,864,800031.4169599998,33053842057.29,0.02,661876872.56276
Logistic Regression,test,0.14,0.0794659300184162,0.9976878612716764,0.1472068230277185,0.0210536623580101,0.0195901417351268,215,9997,2,863,925592.5043599998,32729427196.58,0.02,655514136.43596
Logistic Regression,test,0.15,0.0799035965888023,0.9965317919075144,0.1479447352613061,0.0280062671367019,0.0260900965965513,286,9926,3,862,1147962.440999,32519689679.26,0.02,651541756.0261991
Logistic Regression,test,0.16,0.0804930432346624,0.9965317919075144,0.1489545533091411,0.0357422640031335,0.0332219915139477,365,9847,3,862,1147962.440999,32276331780.27,0.02,646674598.046399
Logistic Regression,test,0.17,0.0812670877722258,0.9965317919075144,0.150278940027894,0.0457305131218174,0.0424302609009659,467,9745,3,862,1147962.440999,31836475675.85,0.02,637877475.9579991
Logistic Regression,test,0.18,0.0819937220584038,0.9965317919075144,0.1515204781156618,0.0549353701527614,0.0509163130811591,561,9651,3,862,1147962.440999,31592289884.57,0.02,632993760.1323991
Logistic Regression,test,0.19,0.0825396825396825,0.991907514450867,0.1523978685612788,0.0660987074030552,0.0615690168818272,675,9537,7,858,7316484.585777,31230152036.39,0.02,631919525.313577
Logistic Regression,test,0.2,0.0835203434481412,0.9895953757225432,0.1540399496131006,0.0801997649823736,0.0747494809063825,819,9393,9,856,8490338.513153,30660232333.37,0.02,621694985.180553
Logistic Regression,test,0.21,0.0846367056028509,0.9884393063583816,0.1559223123917206,0.0944966705836271,0.088020222081791,965,9247,10,855,8669690.088578,30178630596.29,0.02,612242302.0143781
Logistic Regression,test,0.22,0.0857601928098011,0.9872832369942196,0.1578120668945763,0.108499804151978,0.1010201318046402,1108,9104,11,854,8883437.129378,29734253523.33,0.02,603568507.595978
Logistic Regression,test,0.23,0.086960954225711,0.9861271676300578,0.1598276185122728,0.1229925577751664,0.1144714272817549,1256,8956,12,853,9038419.191563,29279148155.96,0.02,594621382.310763
Logistic Regression,test,0.24,0.0880802233019745,0.984971098265896,0.1617005124312013,0.1362122992557775,0.1267491197977791,1391,8821,13,852,9239617.091093,28909492286.18,0.02,587429462.814693
Logistic Regression,test,0.25,0.089257586894886,0.9826589595375722,0.1636503658067,0.1507050528789659,0.1402906924257471,1539,8673,15,850,11817247.298756002,28361258640.29,0.02,579042420.1045561
Logistic Regression,test,0.26,0.0909577314071696,0.9826589595375722,0.1665034280117532,0.168135526831179,0.1563600252776023,1717,8495,15,850,11817247.298756002,27767063419.89,0.02,567158515.696556
Logistic Regression,test,0.27,0.0921684118673647,0.976878612716763,0.1684441343566231,0.1849784567175871,0.1723390809786043,1889,8323,20,845,15672153.490064,27200106045.42,0.02,559674274.398464
Logistic Regression,test,0.28,0.0939066503286175,0.9745664739884392,0.1713066449908555,0.2034860947904426,0.18958201679155,2078,8134,22,843,17540295.242036004,26697747315.84,0.02,551495241.558836
Logistic Regression,test,0.29,0.0955573230314737,0.9722543352601156,0.1740120008276433,0.2205248726987857,0.205470795341699,2252,7960,24,841,18607878.106027,26126983513.050003,0.02,541147548.367027
Logistic Regression,test,0.3,0.0974335152711647,0.969942196531792,0.1770789362600253,0.2389345867606737,0.2226234540037917,2440,7772,26,839,24311226.06590201,25512035294.84,0.02,534551931.9627021
Logistic Regression,test,0.31,0.0995963912630579,0.969942196531792,0.1806437722036817,0.2572463768115942,0.2395052812133249,2627,7585,26,839,24311226.06590201,24898688272.19,0.02,522284991.509702
Logistic Regression,test,0.32,0.1018270401948842,0.9664739884393064,0.1842424242424242,0.2779083431257344,0.2588245914958924,2838,7374,29,836,31735198.024558004,24230746520.39,0.02,516350128.432358
Logistic Regression,test,0.33,0.1035085528780122,0.9583815028901734,0.1868379535722334,0.2969056012534273,0.2769702988173693,3032,7180,36,829,41107986.307168,23623061251.75,0.02,513569211.342168
Logistic Regression,test,0.34,0.1058914131690412,0.953757225433526,0.1906192236598891,0.31786133960047,0.2966507177033493,3246,6966,40,825,48673987.10674,22873667612.93,0.02,506147339.36534
Logistic Regression,test,0.35,0.1082290980908492,0.9502890173410404,0.1943262411347517,0.3367606737171955,0.3143450392705605,3439,6773,43,822,53447557.605216,22180095641.86,0.02,497049470.4424161
Logistic Regression,test,0.36,0.1109906491394498,0.9468208092485548,0.1986899563318777,0.3576184880532707,0.3338449038548343,3652,6560,46,819,62852592.967355,21480435099.4,0.02,492461294.9553551
Logistic Regression,test,0.37,0.1143617021276595,0.9445086705202312,0.2040204769634161,0.3804347826086957,0.3550600343053173,3885,6327,48,817,67245483.21535501,20837590832.2,0.02,483997299.859355
Logistic Regression,test,0.38,0.1172224628266204,0.938728323699422,0.2084188911704312,0.4011946729338033,0.3746501760404441,4097,6115,53,812,82986678.810005,20246498133.26,0.02,487916641.47520506
Logistic Regression,test,0.39,0.1206614032474303,0.9364161849710982,0.2137767220902612,0.421954563258911,0.3939694863230116,4309,5903,55,810,85380461.736645,19610053303.6,0.02,477581527.80864495
